id;placed_date;status;code;customer_id
1;2020-04-12T05:01:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-04-11T15:58:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-04-11T17:29:32;PENDING;Concrete;3
4;2020-04-12T06:55:27;CANCELLED;Investment Account;4
5;2020-04-11T18:12:17;PENDING;United States of America;5
6;2020-04-12T08:24:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-04-12T11:30:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-04-11T20:26:50;COMPLETED;Home Loan Account;8
9;2020-04-12T05:21:06;COMPLETED;Human;9
10;2020-04-11T15:29:44;CANCELLED;payment;10
